"idx","cd_nm","cd_a","cd_b","cd_memo","cd_memo2","del_flag","order_num","ins_dt","edit_dt"
1064,비용 발생하지 않음 ,EXP,"4","","",N,999,2022-07-05 11:51:01.000,
1065,카드 일시불,PAY,"1","","",N,1,2022-07-05 11:51:35.000,
1066,카드 할부,PAY,"2","","",N,10,2022-07-05 11:51:41.000,
1067,현금,PAY,"3","","",N,20,2022-07-05 11:51:47.000,
1068,기타,PAY,"4","","",N,40,2022-07-05 11:51:53.000,
1069,매우 불만족,DGS,"1","","",N,999,2022-07-05 11:55:56.000,
1070,불만족,DGS,"2","","",N,999,2022-07-05 11:56:01.000,
1071,보통,DGS,"3","","",N,999,2022-07-05 11:56:07.000,
1072,만족,DGS,"4","","",N,999,2022-07-05 11:56:11.000,
1073,매우만족,DGS,"5","","",N,999,2022-07-05 11:56:16.000,
1074,전혀 그렇지 않다,REP,"1","","",N,999,2022-07-05 11:57:03.000,
1075,그렇지 않다,REP,"2","","",N,999,2022-07-05 11:57:09.000,
1076,보통,REP,"3","","",N,999,2022-07-05 11:57:13.000,
1077,그렇다,REP,"4","","",N,999,2022-07-05 11:57:18.000,
1078,매우 그렇다,REP,"5","","",N,999,2022-07-05 11:57:24.000,
1079,전혀 그렇지 않다,REC,"1","","",N,999,2022-07-05 11:58:27.000,
1080,그렇지 않다,REC,"2","","",N,999,2022-07-05 11:58:32.000,
1081,보통,REC,"3","","",N,999,2022-07-05 11:58:38.000,
1082,그렇다,REC,"4","","",N,999,2022-07-05 11:59:30.000,
1083,매우 그렇다,REC,"5","","",N,999,2022-07-05 11:59:36.000,
1084,사진 업로드 전,MET,N,"","",N,999,2022-07-05 12:04:07.000,
1085,승인 진행 중,MET,C,"","",N,999,2022-07-05 12:04:15.000,
1086,승인 완료,MET,Y,"","",N,999,2022-07-05 12:04:20.000,
1087,승인 거절,MET,D,"","",N,999,2022-07-05 12:04:26.000,
1088,집,VIS,"21","","",N,999,2022-07-05 15:52:47.000,
1089,친구/친지집,VIS,"22","","",N,999,2022-07-05 15:52:56.000,2022-07-26 16:05:56.000
1090,사무실,VIS,"23","","",N,999,2022-07-05 15:53:05.000,
1091,숙소,VIS,"24","","",N,999,2022-07-05 15:53:12.000,
1092,버스 + 지하철,MOV,"50","5,6,12,13 이동내역을 통합 입력시 사용하는용도","",Y,999,2022-07-06 10:16:26.000,2022-07-06 10:16:29.000
1093,계좌이체,PAY,"5","","",N,30,2022-07-14 14:51:07.000,
1094,환승/경유,ACT,"7","","",N,60,2022-07-14 14:55:09.000,
1095,체험 활동 관광지,VIS,"13","","",N,15,2022-07-14 15:14:57.000,
1096,없음,ACT,"99","","",N,999,2022-07-14 18:09:33.000,
1097,쇼핑,MIS,"1","","",N,999,2022-07-27 16:26:52.000,
1098,"테마파크, 놀이시설, 동/식물원 방문",MIS,"2","","",N,999,2022-07-27 16:26:58.000,
1099,역사 유적지 방문,MIS,"3","","",N,999,2022-07-27 16:27:03.000,
1100,시티투어,MIS,"4","","",N,999,2022-07-27 16:27:08.000,
1101,"야외 스포츠, 레포츠 활동",MIS,"5","","",N,999,2022-07-27 16:27:14.000,
1102,지역 문화예술/공연/전시시설 관람,MIS,"6","","",N,999,2022-07-27 16:27:19.000,
1103,유흥/오락(나이트라이프),MIS,"7","","",N,999,2022-07-27 16:27:26.000,
1104,캠핑,MIS,"8","","",N,999,2022-07-27 16:27:31.000,
1105,지역 축제/이벤트 참가,MIS,"9","","",N,999,2022-07-27 16:27:37.000,
1106,온천/스파,MIS,"10","","",N,999,2022-07-27 16:27:43.000,
1107,교육/체험 프로그램 참가,MIS,"11","","",N,999,2022-07-27 16:27:48.000,
1108,드라마 촬영지 방문,MIS,"12","","",N,999,2022-07-27 16:27:57.000,
1109,종교/성지 순례,MIS,"13","","",N,999,2022-07-27 16:28:01.000,
1110,Well-ness 여행,MIS,"21","","",N,999,2022-07-27 16:28:07.000,
1111,SNS 인생샷 여행,MIS,"22","","",N,999,2022-07-27 16:28:11.000,
1112,호캉스 여행,MIS,"23","","",N,999,2022-07-27 16:28:16.000,
1113,신규 여행지 발굴,MIS,"24","","",N,999,2022-07-27 16:28:21.000,
1114,반려동물 동반 여행,MIS,"25","","",N,999,2022-07-27 16:28:26.000,
1115,인플루언서 따라하기 여행,MIS,"26","","",N,999,2022-07-27 16:28:34.000,
1116,친환경 여행(플로깅 여행),MIS,"27","","",N,999,2022-07-27 16:30:10.000,
1117,등반 여행,MIS,"28","","",N,999,2022-07-27 16:30:13.000,
1118,무학,EDU,"1","","",N,999,2022-09-22 17:34:50.000,
1119,초등학교,EDU,"2","","",N,999,2022-09-22 17:34:50.000,
1120,중학교,EDU,"3","","",N,999,2022-09-22 17:34:50.000,
1121,고등학교,EDU,"4","","",N,999,2022-09-22 17:34:50.000,
1122,대학(4년제 미만),EDU,"5","","",N,999,2022-09-22 17:34:50.000,
1123,대학교(4년제 이상),EDU,"6","","",N,999,2022-09-22 17:34:50.000,
1124,대학원 석사 과정,EDU,"7","","",N,999,2022-09-22 17:34:50.000,
1125,대학원 박사 과정,EDU,"8","","",N,999,2022-09-22 17:34:50.000,
1126,졸업,EFS,"1","","",N,999,2022-09-22 17:34:50.000,
1127,재학,EFS,"2","","",N,999,2022-09-22 17:34:50.000,
1128,휴학,EFS,"3","","",N,999,2022-09-22 17:34:50.000,
1129,중퇴,EFS,"4","","",N,999,2022-09-22 17:34:50.000,
1130,수료,EFS,"5","","",N,999,2022-09-22 17:34:50.000,
1131,미혼,MAR,"1","","",N,999,2022-09-22 17:34:50.000,
1132,기혼,MAR,"2","","",N,999,2022-09-22 17:34:50.000,
1133,사별,MAR,"3","","",N,999,2022-09-22 17:34:50.000,
1134,이혼,MAR,"4","","",N,999,2022-09-22 17:34:50.000,
